0,1,2,3,4,5,6,7,8,9
Statement 1: Deployment of Gross Bank Credit by Major Sectors,,,,,,,,,
(Rs. Crore),,,,,,,,,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),
,"26.Jan,2024","22.Mar,2024","24.Jan,2025","21.Mar,2025","31.Jan,2026","24.Jan,2025 / 26.Jan,2024","31.Jan,2026 / 24.Jan,2025","24.Jan,2025 / 22.Mar,2024","31.Jan,2026 / 21.Mar,2025"
,,,,,,%,%,%,%
I. Bank Credit (II + III),16043591.79785,16432163.926709997,17868478.530021753,18243972.334670212,20475381.95524439,11.374552252172773,14.589397865311488,8.740873141954662,12.230941703050508
II. Food Credit,45618.73,23080.81,56178.86,36531.16,89295.4,23.14867160922717,58.948401587358646,143.40072987039883,144.436256609426
III. Non-food Credit,15997973.06785,16409083.116709996,17812299.670021754,18207441.174670212,20386086.55524439,11.340977975627919,14.449492389544401,8.551462280563433,11.96568677429018
,,,,,,,,,
1. Agriculture and Allied Activities,2009098.33619,2071250.995736,2253510.284899,2287060.099496,2509788.529016,12.165255642613113,11.372401796182006,8.79947865025581,9.738634746375181
"2. Industry (Micro and Small, Medium and Large)",3614409.354535,3682392.531552,3913968.873477,3985659.551324,4388307.777559,8.28792451430944,12.119128164159829,6.288746784618274,10.102423979018575
  2.1. Micro and Small,717262.458437,733123.356073,786045.977257,798472.66076,1031291.398699,9.589728001363328,31.199882518044646,7.218788045095419,29.1580099583371
  2.2. Medium,294398.357935,306424.853962,348614.49414,363245.019249,426210.574042,18.415909852652913,22.25842046338962,13.768347975857075,17.3341825644794
  2.3. Large,2602748.538163,2642844.321517,2779308.40208,2823941.871316,2930805.804818,6.78359285686564,5.450902916157901,5.16353080096179,3.784211516089036
3. Services,4413917.309734,4547236.765609,4956419.412659,5093565.107574,5722969.386434,12.29071740262604,15.465801215635313,8.998490031235464,12.356851548321076
  3.1. Transport Operators,229245.519436,232379.233542,256722.100266,261574.761822,267665.467105,11.985656643409692,4.262728774679366,10.475491442569151,2.328475897512114
  3.2. Computer Software,26311.61461,25917.345642,33728.476663,32915.202169,40694.804478,28.188547768486792,20.654143039439518,30.13862271583005,23.63528642192859
"  3.3. Tourism, Hotels and Restaurants",77263.269059,77815.892939,81753.210904,83366.436558,97417.581234,5.811224272132967,19.160556700817686,5.059786396188345,16.85467828077824
  3.4. Shipping,7104.155535,7066.78,7180.04,7304.35,10373.17,1.0681700960253553,44.472314917465646,1.6027101452146555,42.013594638811114
  3.5. Aviation,44404.64971,43283.01,44823.34,46071.8,49613.17,0.9428974054167776,10.68601759708224,3.5587404850078457,7.686632603892176
  3.6. Professional Services,161391.209466,167234.647086,190863.111841,195956.642789,209053.746799,18.261157142644006,9.530723240619606,14.128929122473712,6.683674420827128
  3.7. Trade,984726.180606,1024407.716289,1127156.363535,1184550.226859,1309115.360266,14.463937867616005,16.14319029884534,10.030054011913862,10.51581693899986
    3.7.1. Wholesale Trade1,515587.699659,537188.975284,608691.612733,646098.731744,723122.343866,18.0578227788555,18.799459157850194,13.310518409503477,11.921337767386083
    3.7.2. Retail Trade,469138.480947,487218.741004,518464.750802,538451.495115,585993.0164,10.514223807740162,13.024658955800216,6.4131379128832515,8.829304350774661
  3.8. Commercial Real Estate,450810.92745,460263.097704,514506.43005,523264.418947,597880.218455,14.129094642912033,16.2046154402575,11.7852881572714,14.259673848673742
